Name;ProgrammingLanguage;qualifiedName;location;Lines;CommentLines;BlankLines;PreprocessorLines;CodeLines;InactiveLines;ExecutableCodeLines;DeclarativeCodeLines;ExecutionStatements;DeclarationStatements;RatioComment/Code;Units;containedClasses;containedFunctions;usesSourceFiles;usedbySourceFiles;
autocast_VS2017_helper.h;C++;pytorch-master.pytorch-master.aten.src.ATen.autocast_VS2017_helper;pytorch-master/pytorch-master/aten/src/ATen/autocast_VS2017_helper.h; 152;  15; 10;23;  105; 0;101;103;101;102;0.14;101;[];['_cat', '_convolution', '_convolution_nogroup', 'acos', 'addbmm', 'addcdiv', 'addcmul', 'addmm', 'addmv', 'addr', 'asin', 'atan2', 'baddbmm', 'bilinear', 'binary_cross_entropy_with_logits', 'bmm', 'cat', 'cat', 'cdist', 'chain_matmul', 'conv1d', 'conv2d', 'conv3d', 'conv_tbc', 'conv_transpose1d', 'conv_transpose2d', 'conv_transpose3d', 'convolution', 'cosh', 'cosine_embedding_loss', 'cosine_similarity', 'cross', 'cudnn_convolution', 'cudnn_convolution', 'cudnn_convolution_transpose', 'cudnn_convolution_transpose', 'cumprod', 'cumprod', 'cumsum', 'cumsum', 'dist', 'dot', 'equal', 'erfinv', 'exp', 'expm1', 'frobenius_norm', 'frobenius_norm', 'gelu', 'group_norm', 'hinge_embedding_loss', 'kl_div', 'l1_loss', 'layer_norm', 'linear', 'log', 'log10', 'log1p', 'log2', 'log_softmax', 'log_softmax', 'margin_ranking_loss', 'matmul', 'mm', 'mse_loss', 'multi_margin_loss', 'multilabel_margin_loss', 'mv', 'native_layer_norm', 'nll_loss', 'nll_loss2d', 'norm', 'norm', 'norm', 'nuclear_norm', 'nuclear_norm', 'pdist', 'poisson_nll_loss', 'pow', 'pow', 'pow', 'prelu', 'prod', 'prod', 'prod', 'reciprocal', 'renorm', 'rsqrt', 'sinh', 'smooth_l1_loss', 'soft_margin_loss', 'softmax', 'softmax', 'softplus', 'stack', 'sum', 'sum', 'sum', 'tan', 'tensordot', 'triplet_margin_loss', '_cat', '_convolution', '_convolution_nogroup', 'acos', 'addbmm', 'addcdiv', 'addcmul', 'addmm', 'addmv', 'addr', 'asin', 'atan2', 'baddbmm', 'bilinear', 'binary_cross_entropy_with_logits', 'bmm', 'cat', 'cdist', 'chain_matmul', 'conv1d', 'conv2d', 'conv3d', 'conv_tbc', 'conv_transpose1d', 'conv_transpose2d', 'conv_transpose3d', 'convolution', 'cosh', 'cosine_embedding_loss', 'cosine_similarity', 'cross', 'cudnn_convolution', 'cudnn_convolution_transpose', 'cumprod', 'cumsum', 'dist', 'dot', 'equal', 'erfinv', 'exp', 'expm1', 'frobenius_norm', 'gelu', 'group_norm', 'hinge_embedding_loss', 'kl_div', 'l1_loss', 'layer_norm', 'linear', 'log', 'log10', 'log1p', 'log2', 'log_softmax', 'margin_ranking_loss', 'matmul', 'mm', 'mse_loss', 'multi_margin_loss', 'multilabel_margin_loss', 'mv', 'native_layer_norm', 'nll_loss', 'nll_loss2d', 'norm', 'nuclear_norm', 'pdist', 'poisson_nll_loss', 'pow', 'prelu', 'prod', 'reciprocal', 'renorm', 'rsqrt', 'sinh', 'smooth_l1_loss', 'soft_margin_loss', 'softmax', 'softplus', 'stack', 'sum', 'tan', 'tensordot', 'triplet_margin_loss'];[];[];
Backend.h;C++;pytorch-master.pytorch-master.aten.src.ATen.Backend;pytorch-master/pytorch-master/aten/src/ATen/Backend.h; 2;  0; 0;2;  0; 0;0;0;0;0;0.00;0;[];[];[];[];
Context.cpp;C++;pytorch-master.pytorch-master.aten.src.ATen.Context;pytorch-master/pytorch-master/aten/src/ATen/Context.cpp; 174;  16; 30;38;  86; 14;31;34;29;32;0.19;25;[];['supported_qengines', 'getCPUAllocator', 'globalContext', 'benchmarkCuDNN', 'Context', 'deterministicCuDNN', 'hasLAPACK', 'hasMKL', 'hasMKLDNN', 'hasOpenMP', 'isXNNPACKAvailable', 'qEngine', 'setBenchmarkCuDNN', 'setDeterministicCuDNN', 'setFlushDenormal', 'setQEngine', 'setUserEnabledCuDNN', 'setUserEnabledMkldnn', 'supportedQEngines', 'userEnabledCuDNN', 'userEnabledMkldnn', 'initCPU', 'initCUDA', 'initHIP', 'LegacyDeviceTypeInit'];[];[];
Context.h;C++;pytorch-master.pytorch-master.aten.src.ATen.Context;pytorch-master/pytorch-master/aten/src/ATen/Context.h; 238;  17; 27;16;  179; 0;0;0;0;0;0.09;0;[];[];[];[];
alias_info.h;C++;pytorch-master.pytorch-master.aten.src.ATen.core.alias_info;pytorch-master/pytorch-master/aten/src/ATen/core/alias_info.h; 119;  18; 14;5;  83; 0;0;0;0;0;0.22;0;[];[];[];[];
aten_interned_strings.h;C++;pytorch-master.pytorch-master.aten.src.ATen.core.aten_interned_strings;pytorch-master/pytorch-master/aten/src/ATen/core/aten_interned_strings.h; 1027;  8; 3;1017;  0; 0;0;0;0;0;0.00;0;[];[];[];[];
ATenGeneral.cpp;C++;pytorch-master.pytorch-master.aten.src.ATen.core.ATenGeneral;pytorch-master/pytorch-master/aten/src/ATen/core/ATenGeneral.cpp; 1;  0; 0;1;  0; 0;0;0;0;0;0.00;0;[];[];[];[];
ATenGeneral.h;C++;pytorch-master.pytorch-master.aten.src.ATen.core.ATenGeneral;pytorch-master/pytorch-master/aten/src/ATen/core/ATenGeneral.h; 3;  0; 1;2;  0; 0;0;0;0;0;0.00;0;[];[];[];[];
Backtrace.h;C++;pytorch-master.pytorch-master.aten.src.ATen.core.Backtrace;pytorch-master/pytorch-master/aten/src/ATen/core/Backtrace.h; 2;  0; 0;2;  0; 0;0;0;0;0;0.00;0;[];[];[];[];
blob.cpp;C++;pytorch-master.pytorch-master.aten.src.ATen.core.blob;pytorch-master/pytorch-master/aten/src/ATen/core/blob.cpp; 1;  0; 0;1;  0; 0;0;0;0;0;0.00;0;[];[];[];[];
blob.h;C++;pytorch-master.pytorch-master.aten.src.ATen.core.blob;pytorch-master/pytorch-master/aten/src/ATen/core/blob.h; 208;  62; 25;9;  113; 0;0;0;0;0;0.55;0;[];[];[];[];
kernel_function.h;C++;pytorch-master.pytorch-master.aten.src.ATen.core.boxing.kernel_function;pytorch-master/pytorch-master/aten/src/ATen/core/boxing/kernel_function.h; 29;  3; 3;2;  21; 0;0;0;0;0;0.14;0;[];[];[];[];
kernel_function_legacy_test.cpp;C++;pytorch-master.pytorch-master.aten.src.ATen.core.boxing.kernel_function_legacy_test;pytorch-master/pytorch-master/aten/src/ATen/core/boxing/kernel_function_legacy_test.cpp; 1111;  37; 225;8;  842; 0;530;364;355;328;0.04;90;[];['func', 'concatKernel', 'decrementKernel', 'errorKernel', 'expectCallsConcatUnboxed', 'expectCallsDecrement', 'expectCallsIncrement', 'final', 'incrementKernel', 'kernelForSchemaInference', 'kernelWithDictInputWithoutOutput', 'kernelWithDictInputWithOutput', 'kernelWithDictOutput', 'kernelWithIntInputWithoutOutput', 'kernelWithIntInputWithOutput', 'kernelWithIntListInputWithoutOutput', 'kernelWithIntListInputWithOutput', 'kernelWithIntListOutput', 'kernelWithIntOutput', 'kernelWithLegacyTensorListInputWithoutOutput', 'kernelWithLegacyTensorListInputWithOutput', 'kernelWithLegacyTensorVectorInputWithoutOutput', 'kernelWithLegacyTensorVectorInputWithOutput', 'kernelWithOptInputWithoutOutput', 'kernelWithOptInputWithOutput', 'kernelWithoutInputs', 'kernelWithoutOutput', 'kernelWithoutTensorInputs', 'kernelWithStringListOutput', 'kernelWithTensorInputByReferenceWithoutOutput', 'kernelWithTensorInputByReferenceWithOutput', 'kernelWithTensorInputByValueWithoutOutput', 'kernelWithTensorInputByValueWithOutput', 'kernelWithTensorListInputWithoutOutput', 'kernelWithTensorListInputWithOutput', 'kernelWithTensorListOutput', 'kernelWithTensorOutput', 'kernelWithUnorderedMapInputWithoutOutput', 'kernelWithUnorderedMapInputWithOutput', 'kernelWithUnorderedMapOutput', 'kernelWithZeroOutputs', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'func'];[];[];
kernel_function_test.cpp;C++;pytorch-master.pytorch-master.aten.src.ATen.core.boxing.kernel_function_test;pytorch-master/pytorch-master/aten/src/ATen/core/boxing/kernel_function_test.cpp; 854;  32; 173;5;  645; 0;377;302;239;283;0.05;72;[];['func', 'concatKernel', 'decrementKernel', 'errorKernel', 'expectCallsConcatUnboxed', 'expectCallsDecrement', 'expectCallsIncrement', 'expectCannotCallConcatBoxed', 'final', 'incrementKernel', 'kernelForSchemaInference', 'kernelWithDictInputWithoutOutput', 'kernelWithDictInputWithOutput', 'kernelWithDictOutput', 'kernelWithIntInputWithoutOutput', 'kernelWithIntInputWithOutput', 'kernelWithIntListInputWithoutOutput', 'kernelWithIntListInputWithOutput', 'kernelWithIntListOutput', 'kernelWithIntOutput', 'kernelWithOptInputWithoutOutput', 'kernelWithOptInputWithOutput', 'kernelWithoutInputs', 'kernelWithoutOutput', 'kernelWithoutTensorInputs', 'kernelWithTensorInputByReferenceWithoutOutput', 'kernelWithTensorInputByReferenceWithOutput', 'kernelWithTensorInputByValueWithoutOutput', 'kernelWithTensorInputByValueWithOutput', 'kernelWithTensorListInputWithoutOutput', 'kernelWithTensorListInputWithOutput', 'kernelWithTensorListOutput', 'kernelWithTensorOutput', 'kernelWithZeroOutputs', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'func'];[];[];
kernel_functor_test.cpp;C++;pytorch-master.pytorch-master.aten.src.ATen.core.boxing.kernel_functor_test;pytorch-master/pytorch-master/aten/src/ATen/core/boxing/kernel_functor_test.cpp; 1024;  34; 199;5;  787; 0;439;359;275;315;0.04;86;['final', 'final', 'final'];['expectCallsConcatUnboxed', 'expectCallsDecrement', 'expectCallsIncrement', 'expectThrows', 'expectThrows', 'final', 'operator', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'ConcatKernel', 'KernelWithCache', 'KernelWithConstructorArg', 'KernelWithMultipleConstructorArgs', 'operator', 'operator', 'operator', 'operator', 'operator', 'operator', 'operator', 'operator', 'operator', 'operator', 'operator', 'operator', 'operator', 'operator', 'operator', 'operator', 'operator', 'operator', 'operator', 'operator', 'operator', 'operator', 'operator', 'operator', 'operator', 'operator', 'operator', 'operator', 'operator', 'operator', 'operator', 'operator', 'operator', 'Tensor', 'Tensor'];[];[];
kernel_lambda.h;C++;pytorch-master.pytorch-master.aten.src.ATen.core.boxing.kernel_lambda;pytorch-master/pytorch-master/aten/src/ATen/core/boxing/kernel_lambda.h; 37;  5; 6;3;  23; 0;0;0;0;0;0.22;0;[];[];[];[];
kernel_lambda_legacy_test.cpp;C++;pytorch-master.pytorch-master.aten.src.ATen.core.boxing.kernel_lambda_legacy_test;pytorch-master/pytorch-master/aten/src/ATen/core/boxing/kernel_lambda_legacy_test.cpp; 1031;  36; 184;8;  805; 0;516;471;241;395;0.04;50;[];['expectCallsConcatUnboxed', 'expectCallsIncrement', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST'];[];[];
kernel_stackbased_test.cpp;C++;pytorch-master.pytorch-master.aten.src.ATen.core.boxing.kernel_stackbased_test;pytorch-master/pytorch-master/aten/src/ATen/core/boxing/kernel_stackbased_test.cpp; 162;  15; 33;5;  112; 0;65;49;40;51;0.13;17;[];['decrementKernel', 'errorKernel', 'expectCallsDecrement', 'expectCallsIncrement', 'expectCallsIncrementUnboxed', 'incrementKernel', 'kernelForSchemaInference', 'kernelWithoutInputs', 'kernelWithoutTensorInputs', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST'];[];[];
KernelFunction.cpp;C++;pytorch-master.pytorch-master.aten.src.ATen.core.boxing.KernelFunction;pytorch-master/pytorch-master/aten/src/ATen/core/boxing/KernelFunction.cpp; 44;  7; 6;2;  30; 0;13;5;13;4;0.23;3;[];['fallthrough_kernel', '_equalsBoxedAndUnboxed', 'dumpState'];[];[];
KernelFunction.h;C++;pytorch-master.pytorch-master.aten.src.ATen.core.boxing.KernelFunction;pytorch-master/pytorch-master/aten/src/ATen/core/boxing/KernelFunction.h; 244;  164; 28;7;  45; 0;0;0;0;0;3.64;0;[];[];[];[];
KernelFunction_test.cpp;C++;pytorch-master.pytorch-master.aten.src.ATen.core.boxing.KernelFunction_test;pytorch-master/pytorch-master/aten/src/ATen/core/boxing/KernelFunction_test.cpp; 314;  9; 65;4;  238; 0;122;100;95;108;0.04;51;[];['expectUnboxedCallingWithoutReturnWorks', 'expectUnboxedCallingWithReturnWorks', 'boxed_func_with_return', 'boxed_func_without_return', 'expectBoxedCallingFailsWith', 'expectBoxedCallingWithoutReturnWorks', 'expectBoxedCallingWithReturnWorks', 'makeDummyOperatorHandle', 'unboxed_function_with_return', 'unboxed_function_without_return', 'unboxed_lambda_with_return', 'unboxed_lambda_without_return', 'stack', 'stack', 'stack', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'operator', 'operator', 'operator', 'operator'];[];[];
test_helpers.h;C++;pytorch-master.pytorch-master.aten.src.ATen.core.boxing.test_helpers;pytorch-master/pytorch-master/aten/src/ATen/core/boxing/test_helpers.h; 96;  3; 14;7;  73; 0;39;33;22;20;0.04;12;[];['extractDispatchKey', 'callOp', 'callOpUnboxed', 'callOpUnboxedWithDispatchKey', 'dummyTensor', 'dummyTensor', 'expectDoesntFindKernel', 'expectDoesntFindOperator', 'expectListEquals', 'expectListEquals', 'expectThrows', 'makeStack', 'make_tensor', 'DispatchKeySet', 'make_intrusive', 'singleton', 'HasSubstr'];[];[];
builtin_function.h;C++;pytorch-master.pytorch-master.aten.src.ATen.core.builtin_function;pytorch-master/pytorch-master/aten/src/ATen/core/builtin_function.h; 105;  4; 23;3;  77; 0;0;0;0;0;0.05;0;[];[];[];[];
DeprecatedTypeProperties.cpp;C++;pytorch-master.pytorch-master.aten.src.ATen.core.DeprecatedTypeProperties;pytorch-master/pytorch-master/aten/src/ATen/core/DeprecatedTypeProperties.cpp; 24;  3; 6;4;  14; 0;5;5;5;4;0.21;3;[];['copy', 'unsafeStorageFromTH', 'unsafeTensorFromTH'];[];[];
DeprecatedTypeProperties.h;C++;pytorch-master.pytorch-master.aten.src.ATen.core.DeprecatedTypeProperties;pytorch-master/pytorch-master/aten/src/ATen/core/DeprecatedTypeProperties.h; 131;  8; 27;8;  89; 0;0;0;0;0;0.09;0;[];[];[];[];
DeprecatedTypePropertiesRegistry.cpp;C++;pytorch-master.pytorch-master.aten.src.ATen.core.DeprecatedTypePropertiesRegistry;pytorch-master/pytorch-master/aten/src/ATen/core/DeprecatedTypePropertiesRegistry.cpp; 33;  2; 7;2;  22; 0;8;10;8;8;0.09;4;[];['globalDeprecatedTypePropertiesRegistry', 'operator', 'DeprecatedTypePropertiesRegistry', 'getDeprecatedTypeProperties'];[];[];
Dict.h;C++;pytorch-master.pytorch-master.aten.src.ATen.core.Dict;pytorch-master/pytorch-master/aten/src/ATen/core/Dict.h; 392;  130; 67;9;  186; 0;0;0;0;0;0.70;0;[];[];[];[];
Dict_inl.h;C++;pytorch-master.pytorch-master.aten.src.ATen.core.Dict_inl;pytorch-master/pytorch-master/aten/src/ATen/core/Dict_inl.h; 253;  5; 38;2;  208; 0;0;0;0;0;0.02;0;[];[];[];[];
Dimname.cpp;C++;pytorch-master.pytorch-master.aten.src.ATen.core.Dimname;pytorch-master/pytorch-master/aten/src/ATen/core/Dimname.cpp; 69;  1; 10;3;  56; 0;28;12;29;11;0.02;7;[];['check_valid_identifier', 'operator<<', 'fromSymbol', 'isValidName', 'matches', 'unify', 'wildcard'];[];[];
DimVector.h;C++;pytorch-master.pytorch-master.aten.src.ATen.core.DimVector;pytorch-master/pytorch-master/aten/src/ATen/core/DimVector.h; 13;  2; 5;3;  4; 0;0;0;0;0;0.50;0;[];[];[];[];
